,0
95,Akatswiri a Sayansi athuwa anaperenga mwayi kwa oonera mpira ku Stediyamu ya Furhill kuti amvetsetse za kufala kwa matenda ndi gawo limene chitetezo chamthupi mwathu chimatenga potiteteza ku matendawa.
96,Matenda a Kashembe: Nkhani ya tizilombo todzizimbayitsa
97,Phunzirani za matenda a kashembe a mtundu waku Afrika.
98,"Onerani zina ndi zina za zionetsero za akatsiwiri a Sayansiwa ku Malawi, makamaka ku Rumphi ndi Nkhotakota, mu October 2022."
99,Tikambe za Kashembe
100,"Tiyeni tikambe za kashembe ndi bvuto lake pa za umoyo. Iyi ndi vidiyo yothandizira kulongosola za kachilombo kashembe, komanso matenda a kashembe."
101,Chonde pelekani maganizo anu
102,UTHENGA KWA FUKO LA MALAWI PA TSOGOLO LA UTSOGOLERI WA DZIKO
103,Mawu oyamba
104,"A Malawi anzanga, zanditengera kutsutsika mu mtima ndi kukonda dziko lathu, kuti ndilankhule nanu pa nkhani zomwe zikutikhudza tonse. Ndikunena kuti kutsutsika mu mtima ndi kukonda dziko lathu chifukwa pochita izi, ndikudziwa bwino za zoopsa zomwe zingabwere kwa ine, a pa banja anga komanso anzanga. Komatu ine ndimakhulupirira kuti umtambasale wanga usamakhale wofunika koposa ubwino wa fuko la Malawi. Ndi ganizo limeneri, ndalimba mtima kuti ndiyankhule."
105,"Ndine olimbikitsidwa ndi aMalawi ambiri olimba mtima omwe adatenga mbali zaka zapitazo. Kuyambira nthawi ya m'busa John Chilembwe mpaka Dr. Kamuzu Banda, omwe adalimbana ndi ulamuliro wa azungu kuti tipeze ufulu wodzilamulira. Ndine olimbikitsidwa ndi omwe adalimba mtima kulimbana ndi ulamuliro wa chipani chimodzi kuti tikhale ndi demokalase. Awa ndi monga Dr. Bakili Muluzi, malemu Chakufwa Chihana, malemu Aleke Banda ndi ena ambiri. AMalawi amenewa ankadziwa mavuto obwera chifukwa chotenga mbali posintha ndale koma adaika zofuna za dziko patsogolo. Pakadapanda kudzipereka kotere, mwina mpaka lero tikanakhala pansi pa ulamuliro wachitsamunda kapena pansi pa ulamuliro wa chipani chimodzi. Ineyo kukhala ndi mwai wokuyankhulani ndi chipatso cha ntchito imene anthu amenewa adagwira. Ndine wothokoza kwa makolo athu amenewa."
106,"Dziko la Malawi liri ndi zonse zofunika kuti anthu ake atukuke pachuma kupatula kuti tiribe utsogoleri wodziwa ntchito, wa ngwiro ndi wotumikira nzika zake. Ana a sukulu akuphunzirabe pansi pa mitengo. Zipatala zilibe mankhwala ndi zipangizo zokwanira. Madera ena anthu akumwa madzi oyipa. Ulimi siwukutukuka. Alimi alibe misika yogula pa mtengo wopereka phindu ku zokolola zawo. Anthu ambiri wokhala mmizinda ndi ma matauni amakhala nyumba za eni zolipira. Mtengo wa minibus kupita ku ntchito ndi ku bizinezi ndi wokwera kwambiri. Wophunzira ena ku university sakumaliza maphunziro awo chifukwa chosowa ndalama za fizi komanso kugula chakudya. Mabizinezi ang’ono ang’ono akulephera kukula chifukwa malonda sakuyenda. Madera ena mpaka pano, zake 58 tikudzilamulira tokha, sadakhale ndi nseu wa phula."
107,"Ndondomeko za chitukuko kuyambira pamene tidalandira ufulu wodzilamulira kufika pano zakhala zikukamba zinthu zimodzimodzi zoyenera kuchita. Chifukwa chokambira zinthu zimodzimodzi ndi chifukwa zinthuzo zikanali mavuto amene tikukumana nawo. Palibe utsogoleri umene udabwera nkuthetsa vuto motheratu. Mfundo zathu za chitukuko zimakambabe zothetsa njala, zobweretsa madzi akumwa, za kukonza misewu, kuchepa ndi kuzimazima kwa magetsi, kusowa kwa misika yodalirika ndi yogula pa mtengo wabwino kwa alimi komanso tikadalimbana ndi ulova kwenikweni kwa achinyamata."
108,Chuma
109,"A Malawi anzanga, dziko lathu likadali mu gulu la maiko osaukitsitsa pa dziko lapansi. Chokhumudwitsa kwambiri n’chakuti mayiko amene akhala ali pa nkhondo kapena pamikangano ali ndi chuma champhamvu kuposa chathu. Chuma chofooka chomwe tili nacho sichinthu chachilengedwe. Ndi mapangidwe a atsogoleri athu. Ndivomereze kuti pakhala nthawi zina zimene chuma chathu chimaoneka kuti chayamba kuyenda bwino koma nthawi yotere yakhala ya apa ndi apo komanso nthawi yochepa. Kwa nthawi yayitali mu ufulu odzilamulira tokha chuma chathu chakula monyentchere."
110,"Dziko la Malawi liri ndi kuthekera kodzidyetsa lokha komanso kudyetsa maiko ena. Dziko la Malawi liri ndi kuthekera kopanga katundu wambiri lokha ndikuchepetsa katundu wogula kunja, potero ndikuthandiza kuti ndalama zakunja zomwe timapeza ndi ndalama za kunja zimene timazifuna zidzikwanirana. Zikatero mitengo ya katundu imakhala yotsika komanso yokhazikika. Dziko la Malawi liri ndi kuthekera koyendetsa ndondomeko ya ndalama (budget) kugwiritsa ntchito ndalama zimene timatolera ku misonkho ndi njira zina popanda kutenga ngongole zambiri."
111,Chomvetsa chisoni n’chakuti anthu amene tawaika m’maudindo kuti apititse patsogolo miyoyo yathu asankha kudzikundikira iwo eni ndipo sakufuna kusintha zinthu zimene ziri zolakwika zongowononga ndalama za boma. Anthu tikuponderezedwa njira zosiyanasiyana. Pali kupondereza kwa pa mbalambanda ndiye pali kupondereza kochita kukhazikitsidwa mu ndondomeko. Chitsanzo cha kupondereza kokhazikitsidwa mu ndondomeko ndi kudzikundikira ndalama za alawansi za nduna ndi achiwiri awo komanso akuluakulu ogwira ntchito za boma pamene maudindo a ogwira ntchito mu boma a pansi akulandira ndalama zochepa. 
112,Taganizani kuti ndalama zopatsidwa kuti nduna idzigula mafuta a galimoti zimaposa malipiro a mlembi wamkulu mu unduna. Ndalama zopatsidwa kuti mlembi wamkulu adzigula mafuta a galimoti zimaposa malipiro a ofisala amene akuwayang’anira. Izi ziri chimodzimodzi mu makampani a boma.
113,"Ine ndiri mbali ya inu; aphunzitsi, apolisi, ogwira ntchito zachipatala, alangizi a zaulimi ndi ena ambiri omwe malipiro anu ndi gawo chabe la alawansi imodzi ya akuluakulu ochepa a boma ndi nduna. Zowonadi, uku ndikuponderezana ndipo kuyenera kuthetsedwa."
114,Inetu ndiri ndi inu makolo amene ana anu akuphunzira pansi pa mtengo. Ndiri nanu mabanja amene mukuvutika kuti mupeze chakudya. Ndiri nanu mabanja amene abale anu wodwala awuzidwa ku chipatala kuti mankhwala kulibe. Ndiri nanu wophunzira ku university amene mukulephera kumaliza maphunziro anu chifukwa chosowa ndalama zolipira komanso kugula chakudya. Ndiri nanu inu nonse amene mukusaka mwai wa ntchito koma osayipeza. Ndiri nanu alimi ang’ono ang’ono amene ulimi wanu siwukupita patsogolo. Boma lanu limene libwere lidzakhala boma lopereka mayankho ndipo tidzathetsa zobetchera zimene zilipozi. Ine mundidalire chifukwa ndikudziwa bwino zoyenera kuchita kuti zinthu ziyende bwino kwa aliyense m'dziko muno.
115,"A Malawi anzanga, ine ndimakhulupirira kuthekera kumene dziko lathu liri nako. Ndimakhulupiriranso kuthekera kwa inu aMalawi. Timamva nkhani zabwino za maiko azanthu monga Rwanda amene miyoyo ya anthu ikupita patsogolo. Zambia nayonso nyengo zawo zayamba kusintha zinthu zikuyenda bwino. Palibenso chifukwa kupatula utsogoleri wosadziwa ntchito, kuti nkhani za ku Malawi zomwe zimamveka ndi za umphawi, njala ndi ziphuphu zokhudza akuluakulu aboma."
116,"Ndikudziwa ululu womwe tonse tikudutsa m'nthawi ya mavuto a zachuma. Ndikuvomereza kuti zina mwazifukwa zamavuto azachuma ndi zinthu zakunja monga nkhondo ku Ukraine ndi madzi osefukira. Komabe, monga ndakhala ndikunena mobwerezabwereza ku nyumba zofalitsa nkhani, zinthu zakunja zangowonjezera chabe. Mbali yaikulu ya mavuto ndi chifukwa choyendetsa chuma molakwika. Mabajeti amene utsogoleri ukuyendatsa boma panowu akhala akupanga anali olakwika. Akhala mabajeti osayika maziko a mphamvu kuti chuma chidziyenda bwino. Ine nditaona kuti mfundo za chuma ndizolakwika, ngati nzika yofunira dziko langa zabwino, ndidayankhula kudzera nyumba zina zofalitsa nkhani komanso ndidalemba tsatane tsatane wa zolakwika ndi zoyenera kukonza. Chotero mavuto tikukumana nawo monga kukwera mitengo kwa katundu mowirikiza ndizoziputa dala. Ndizotsatira zobwera chifukwa chotsatira ndondomeko zolakwika za chuma."
117,"Kuchuluka monyanya kwa ngongole zaboma ndi umboni wakuti boma likungotenga ngongole mwa chisawawa. Tidakumbutsidwa mwezi wapitawo kuti aliyense akuzenza ngongole ya K600,000 pa mutu pake. Chokhumudwitsa ndi kuti ngongole izi sizidapindulire ife tonse. Ndi ngongole zimene zimatengedwa kuti agawane kudzera mu katangale komanso kupatsana ma alawansi ochuluka kwa akulu akulu a boma. Kuonjezera apo, pakhala pali chidwi chochepa chofuna kusintha ndondomeko ya zachuma kuti tichepetse kapena kuchotsa kumene zinthu zosafunikira zimene zimangowonongetsa ndalama kwinaku tikudzala maziko a mphamvu okuza chuma chathu kuti ndalama za misonkho zichuluke. Taganizani kulephera kupeza ndalama tokha kuti tikonze damu la Kapichira kuti tibwezeretse mphamvu ya magetsi nsanga. Tachita kukapempha ngongole mbali inayo angotithandiza zimene zatenga nthawi yayitali magetsi ochepa kalewa akungothimathima. Nkhani ya ulesi wa adindo ena mu boma ndiye ngakhale a President ndi nduna zina akhala akudandaula. Tsono kuchedwetsa kuvomereza kuti ma pulojeketi ayambike kumabwezeretsa chitukuko m’mbuyo mu njira zosiyana siyana monga izi: i) ndalama zakunja zimasowa, ii) mwai wa ntchito umatsekerezedwa, iii) chitukuko chimachedwa."
118,"Ndiye ndikati mavuto tikukumana nawo a zachuma mbali yayikulu ndi chifukwa cholephera kuyendetsa zinthu moyenera, zina ndi zimenezi. Utsogoleri ukadakhala wodziwa ntchito mavuto akanakhala koma omverera. Kuti mutsimikize kuti sizikukhudzana ndi zinthu zakunja koma zikugwirizana kwambiri ndi njira zoyendetsera chuma, dziko la Zambia chuma chawo chikuyenda bwino. Zambia ikukhudzidwa chimodzimodzi ndi nkhondo ya Ukraine ndi COVID-19 koma akuyendetsa bwino chuma."
119,"Ine ndi anzanga tabwera kudzapereka kusintha kwenikweni. Dziko la Malawi liri ndi zonse za chilengedwe zoyenera pa chitukuko komanso liri ndi anthu olimbikira ntchito. Ndondomeko zathu zachuma zidzakhazikika popititsa patsogolo ntchito za ulimi, migodi, zokopa alendo komanso kuwonetsetsa kuti aliyense ali ndi mwai wophunzira bwino kuti tikhale ndi akatswiri pa ntchito zosiyana siyana. Pamene tikutukula chuma kudzera mu za chilengedwe zimene Chauta adatipatsa, tikhala tikupita chitsogolo molingana ndi kumene maiko ena akupita kuti chuma chathu tidzidalira za science ndi luso. Tidzatsatira mfundo za chitukuko zimene ziri mu Malawi 2063. Ndine wokondwa kukudziwitsani aMalawi anzanga kuti, Malawi 2063 ndi ndondomeko imene iri pa mtima wanga ndipo ndimazimvetsa bwino chifukwa ndinali m'modzi mwa owunikira ntchito yolemba ndondomeko imeneyi. Ndinaunikaranso mothandizana ndi ena pa nthambi ya kayendetsedwe ka boma mu ndondomeko yoyamba ya zaka 10 ya Malawi 2063 (Malawi 2063 First 10 Year Implementation Plan). Kundisankha kuti ndikhale mmodzi owunikira nthambi imeneyi ndi chitsimikizo kuti ndimadziwa kayendetsedwe ka boma. Ndikanena kuti tidzakwaniritsa zonse, ndikudziwa zomwe zili m'masophenyawa ndipo ndiri ndi chidwi chokwanira kuonetsetsa kuti Malawi 2063 atheke. Udindo wowonetsetsa kuti masomphenya atheke pa bungwe lirilonse ngakhale dziko umakhala mmanja mwa mkulu wa bungwelo. Ine ndidzapereka utsogoleri wapamwamba kuti masomphenya athu tonse akwaniritsidwe."
120,"Tidzatukula ulimi kudzera m'minda ikuluikulu (mega farms) ndi ma cooperative omwe adzathandizire kuchulukitsa zokolola, kulimbikitsa mwayi wopeza misika yodalirika kwa alimi, kukhazikitsa mafakitale ndi kutukula madera kukhala tawuni ndi mizinda. Tidzakhazikitsa ntchito ya zomangamanga mmagawo onse ofunika ntchito zomangamanga. Ntchito izi ndi monga za magetsi, za mtengatenga, nyumba za anthu ndi ma ofesi a boma."
121,Tidzathandizira mabizinesi ang'onoang'ono ndi apakatikati. Chimodzi mwa zolinga zazikulu za unduna wa Mafakitale ndi Malonda chidzakhala kuonetsetsa kuti mabizinezi ang'onoang'ono akule kuchoka pamene ali kufika pa mulingo wina wa patsogolo. Mabizinezi aMalawi amene ndi akulu kale adzathandizidwa kuti ayambe kutsakula ntchito zawo maiko ena. Tikukana ganizo lolemekezamabizinezi ang'onoang'ono ngati kuti ndiye akuyenera kuthera pomwepo. Iwo adzathandizidwa kuti akule.
122,"Pali njira zinai zikuluzikulu zimene dziko limapindulira ndi nkhani za migodi. Imodzi mwa njira zimenezi ndiye kuti dziko lidzikhala ndi gawo mu ntchito za migodi. Kuti izi zitheke, boma lanu lidzakhazikitsa kampani ya migodi. Kampani imeneyi idzidzachita mgwirizano ndi kampani za kunja kuti potero gawo la Malawi ku phindu limene lidzipezeka likhale lochuluka. Kuyendetsa businezi za migodi limodzi ndi ma kampani a kunja kudzathandiza kuti ife eni tidzichita nawo ziganizo ndikumaona kuti palibe njira zimene zikuchitika zoti tiberedwe ndalama podzera mu njira zozemba kupereka msonkho komanso ndalama ya umwini (dividend) chifukwa atinamiza kuti kampani siyidapange phindu. Tidzaunikanso misonkho imene imachotsedwa kuti ma kampani asamalipire. Ife tikufuna ntchito za migodi zipindulire a Malawi."
123,"Tidzatukula ntchito zokopa alendo mokwanira komanso mogwirizana ndi mmene dziko lathu liriri. Nkhani zokopa alendo zagona poyika chikoka kweni kweni chikoka pa zinthu zimene zingapezeke ku Malawi kokha kuno. Ife tidzayika chidwi ndi kutukula malo owonetsa za chikhalidwe komanso kufotokozera mbiri yathu kuti alendo adzikopeka kubwera kwathu kuno. Izi zidzakhala zowonjezera ku zomwe zakhala zikuchitika monga kuteteza nkhalango za nyama za ku tchire, malo opatsa chidwi ndi nyanja zathu. Khumbo lathu lofuna kutukula chuma, kukweza ntchito za mafakitale zidzathandizira kwambiri zokopa alendo. Tipanga Malawi kukhala dziko limene nzika za maiko oyandikana nawo adzibwera kudzagula katundu. Akabwera adzidzafuna malo ogona komanso mayendedwe ngati mmene a Malawi amachitira akapita kunja. Potero ntchito zokopa alendo zidzapita patsogolo."
124,"Tikatukula ulimi, tikakweza ntchito zomangamanga, za migodi, mafakitale, zokopa alendo komanso kutukula mabizinezi ang'onoang'ono, ndi zimene zidzakhale mzati wopanga mwai wa ntchito kwa a Malawi ambiri."
125,"A Malawi anzanga, ife tikudziwa kuti moyo umakhala owawa kweni kweni mu town chifukwa chokwera mitengo ya nyumba zogona, chakudya ndi ndalama zolipira mayendedwe. Pothana ndi mavuto amenewa, tidzaonetsetsa kuti boma likugula mafuta a galimoto kudzera ndondomeko zimene ziri zopulumutsa ndalama komanso misonkho imene inayikidwa pa mtengo wa mafuta tidzayiwunika kuti ina ichotsedwe kapena kuchepetsedwa ngati kutero sikungasokoneze kupereka ntchito zofunikira kwa aMalawi. Kuyang’ana chitsogolo, tidzakonza kuti mafuta adzibwera kudzera pa sitima ya pa njanje ndi paipi mogwirizana ndi ndondomeko ya Malawi National Transport Master Plan. Mfundo zathu za chuma zidzalunjika pa cholinga chakuti ndalama za kunja zidzipezeka kuti ndalama ya Kwacha ikhale ya mphamvu tikatero ndiye kuti mitengo ya katundu idzakhala yokhazikika. Mogwirizana ndi Malawi 2063, tidzathandiza alimi kuti adzikolola zochuluka kuti potero adzigulitsa pa mtengo womverera koma akupangabe phindu chifukwa akugulitsa katundu wambiri. Izi zidzathandiza kuti chakudya chidzipezeka pa mtengo wotsika kwa amene akugula pamene alimi nawonso akupanga phindu."
126,Boma lanu limene mupange 2025 potipatsa voti lidzayika chidwi pa nkhani yoti munthu aliyense akhale ndi nyumba yake. Tidzapereka ndalama ku bungwe la Malawi Housing Corporation kuti amange nyumba zosiyana siyana malingana ndi mapezedwe a munthu aliyense. Inu mudzapatsidwa nyumba mumalipira mwezi uliwonse monga muchitira pa renti koma ndalama yolipirayi ikugula nyumba kuti pakutha kwa nthawi mudzakhala kuti mwakwanitsa kulipira nyumba ikhala yanu. Tipanga umwini wanyumba kukhala wosavuta. Tidzayikanso ndondomeko yabwino yothandiza anthu a ku midzi kukhala ndi nyumba zabwino.
127,"A Malawi anzanga, njira yathu yotukula miyoyo ya anthu ndikuonetsetsa kuti moyo wa tsiku ndi tsiku usazakhale oboola mthumba komanso kuti mwai wopeza ndalama udzipezeka. Izi ndi zomwe boma lanu likubwerari lidzachite."
