0,1
en: Your Email Address,ny: Adilesi ya imelo yanu
en: This is not a valid email address,ny: Adilesi ya Imelo iyi siyolondola
en: Enter Subject,ny: Lembani mutu wa Uthenga
en: Please Enter Subject,ny: Chonde lembani mutu wa uthenga
en: Subject is too short,ny: Mutu wa Uthengawu wafupika
en: Click on Captcha,ny: Chongani pamwambapa
en: Pictures,ny: Zithunzi
en: More Pictures,ny: Zithunzi zina
en: This project is funded by the,ny: Ndalama zoyendetsera ntchitoyi zinachokera ku
en: Preparing for the Performance,ny: Kukonzekera Zionetsero
en: The Street Scientists prepare for Dances with the Lugo Dance Group before the engagement at Zolokere,"ny: Akatswiri a Sayansi akonzekera kubvina ndi gulu lobvina la Lugo, nthawi isanakwake ku Zolokere"
en: Children Prepare to Watch the Performance,ny: Ana akukonzekera kuonera Zionetsero
en: Children gather at Zolokere Primary School Ground to watch the performance,ny: Ana akuchulukira pa bwalo la sukulu ya pulaimale ya Zolokere kuti adzaonere zionetsero
en: Public Address Van warms up the Place with Music,ny: Chigalimoto chonyamula chimkuzamawu chikukuwa ndi nyimbo zokopera anthu
"en: Lots of dancing when the music started, and dancers showed off their skills","ny: Pali kubvina kwambiri pamene nyimbo zayambika, ndipo anthu akuonetsa maluso awo amabvinidwe"
en: A group of Ladies shows off their Beautiful red Tsetse tshirts and Tsetse Bags,"ny: Gulu la amayi kuonetsa ma t-sheti awo a kashembe, ndi zikwama za kashembe"
en: A group of ladies shows off the Beautiful red Tsetse tshirts and Tsetse Bags they have received,"ny: Gulu la Amayi likuonetsa ma t-sheti awo atsopano ofiila a kashembe, ndi zikwama zimene alandira"
en: One of the Netball Teams getting ready for the Game,ny: Imodzi mwa ma timu a mpira wamanja kukonzekera masewero
en: One of the Netball Teams shows excitement in their new red tsetse tshirts before they start playing,ny: Imodzi mwama timu a mpira wa manja kuonetsa kukondwa kwawo atabvala ma t-sheti awo atsopano ofiila a kashembe asanayambe kusewera
en: Hannah gets ready to cover the perfomance from the roof of the faithful Toyota Land Cruiser,ny: Hannah kukonzekera kuti ajambule zionetserozi ali pa denga la galimoto yokhulupirika ya mtundu wa Toyota Land Cruiser
en: Hannah gets ready with her camera to shoot pictures of the performance,ny: Hannah akukonzekera ndi kamera yake kuti ajambule zithunzi za zionetserozi
en: The Crowds receive Tsetse T-shirts,ny: Gulu la anthu kulandira ma Tshirt a Kashembe
en: The Crowds were excited to receive the red Tsetse tshirts,ny: Gulu la anthu linali lokondwa polandira ma t-sheti ofiira a uthenga wa kashembe
en: The Performance by the Scientists,ny: Zionetsero za Akatswiri a Sayansi
en: The Scientists mesmerise the Crowd with their performance,ny: Akatswiri a Sayansi wa akupangitsa chidwi gulu la owonerera ndi zionetsero zawo
en: The Giant Tsetse with its Maggots,ny: Chi Kashembe chachikulu ndi ana ake
en: The Giants Tsetse and its maggots prepare for the performance,ny: Chi Kashembe chachikulu ndi ana ake akukunzekera zionetsero
en: Kamphenda Football Club in their kit donated by Boness United FC from Scotland,ny: Timu ya mpira ya Kamphenda atavala unifomu yawo atapatsidwa ndi timu ya Boness United yaku Scotland.
en: as the sun sets over Kamphenda,ny: pamene dzuwa likulowa ku Kamphenda
en: The Street Scientists Line up,ny: Akatswiri a Sayansi kukonzekera
en: Preparing for the Perfomance,ny: Kukonzekera Zionetsero
en: The Performance,ny: Zionetsero
en: Part of the Perfomance,ny: Mkati mwa zionetsero
en: What a talented man from Sasani!,ny: Mkulu wa luso kwabasi ochokera ku Sasani!
en: Media Team,ny: Anthu otola nkhani
en: The Giant Tsetse with its Maggots interact with the Crowd,ny: Chi Kashembe chachikulu ndi ana ake chikusewera ndi anthu
en: Enjoying the Performance from the Car roof,ny: Kutsata zionetsero ali pa denga la galimoto
en: The Crowd answers questions about Tsetse and receive tshirts,ny: Khamu likuyankha mafunso a kashembe ndikulandira ma t-sheti
en: A Wrap up by the Performers,ny: Kutsanzikana kwa opanga Zionetsero
en: Getting Ready for a Football Game,ny: Kukonzekera Mpira
"en: The team performed in Zolokere on Friday 14th October, 2022, our first outing with the new performance.","ny: Gululi linakapanga zionetsero ku Zolokere, lachisanu pa 14 October 2022, ulendo umene unali woyambilira ndi zionetsero zatsopanozi."
"en: We travelled around Rumphi with Lugo Cultural Team, who did an amazing dance and music performance and hosted a question and answer session in each place.","ny: Tinayenda mumadera aku Rumphi ndi gulu la Lugo Cultural Team, limene linayimba ndi kuvina mopatsa chidwi kwambiri, komanso pali ponse pamene timayima timakhala ndi nthawi ya mafunso ndi mayankho ndi gulu la anthu limene talipeza kumeneko."
en: We saw the local netball teams play and the football teams The Young Rangers played vs Monga Youth Club; we were very pleased with how many people came to see the first show!,"ny: Tinaonerera masewera a mpira wa manja wa atsikana, komanso masewera a mpira wa anyamata, pamene a Young Rangers anasewera ndi Monga Youth Club; tinakondwa kwambiri ndi kuchuluka kwa anthu amene anabwera kudzaonera zionetsero zathu zoyambilirazi."
"en: On Saturday 15th October,2022 we took the performance to Kamphenda, where the truck travelled around the area before the event playing music loudly to attract the attention of the local people.","ny: Loweruka pa 15 October, 2022 tinakapanga zionetsero zathuzi ku Kamphenda, kumene chi tharaki chathu chinazungulira mu delali ndi nyimbo zomvekera patali pokopa anthu kuti abwere kudzaonera zionetserozi."
en: It was market day and so again we had a great turn out. Kamphenda played vs KK Rangers in the football match and the local netball teams played a great game too.,ny: Linali tsiku la msika ndiye kunabweranso anthu ambiri kwabasi. Timu ya mpira ya Kamphenda inasewera ndi KK Rangers ndiponso ma timu a mpira wamanja nawonso anasewera mpira wokoma kwabasi.
"en: On Sunday 16th October,2022, for our last performance in Rumphi we went to the village of Bowe, where we received a warm welcome from local villagers.","ny: Tsiku Lamulungu pa 16 October, 2022, zionetsero zathu zomaliza ku Rumphi zinatitengera ku dera lotchedwa Bowe kumene tinalandiridwa mwamsangala kwambiri ndi anthu akumeneko."
"en: On Sunday 16th October,2022, for our last performance in Rumphi we went to the village of Bowe, where we received a warm welcome from local villagers. 
The teachers in each local village were essential in helping us ask the audiences questions about the activities, which will be important for our research. There was a great football match between Bowe vs Betere and the local netball teams played really well too.
This, being our last performance in Rumphi, was very successful and we had lots of good questions about African Trypanosomiasis from the crowd.","ny: Aphunzitsi asukulu zamumaderamu anathandzira kwabasi kufunsa mafunso anthu makamaka pofuna kudziwa kuti zionetsero zathu zakhala zopindulitsa bwanji kwaiwo, zimene zili zothandizira mu kafukufuku wathu. Kunali mpira wabwino kwambiri pakati pa Bowe ndi Betere, komanso osewera mpira wa manja anaseweranso bwino kwambiri. Mwambowu, umene unali womaliza ku Rumphi, unatha bwino kwambiri ndiponso tinalandira mafunso abwino kwambiri okhudzana ndi matenda a kasembe, kuchokera ku khwimbi limene linabwera."
"en: On Friday 21st October,2022 in Nkhotakota our team performed with local dancers Chiusi Kanada Dance Group and the Gule Wamkulu dancers, creating an amazing spectacle which drew crowds from the surrounding areas.","ny: Tsiku Lachisanu pa 21 October 2022 ku Nkhotakota, gulu lathu linaonetsera zochitikachitika zimene zinakopa anthu ambiri kuchokera ku madera ozungulira."
"en: Our first performance was in Sasani, as part of a football and netball bonanza, where Bata Sasani played a great game vs Young Stars and our Talk About Tsetses performance was very well received.","ny: Zionetsero zathu zoyamba zinachitikira kwa Sasani kumene ngati mbali ya masewero a mpira, timu ya Bata Sasani inasewera mpira wokoma ndi timu ya Young Stars, ndipo zionetsero zathu za Tikambe za Kashembe zinalandiridwa bwino."
"en: We had an extremely warm welcome in Mwala Wa Tongole Saturday 22nd October 2022, when we were greeted with the local villagers singing in harmony as we arrived. 
The local football match between Young Challengers vs Ngala Stars was great; and also netball game between the local teams was exciting. Our performance was well received with good questions from the audience. Our performance was well received with good questions from the audience.","ny: Tinalandiridwa bwino kwambiri ku Mwala wa Tongole pa tsiku Loweruka pa 22 October 2022, pamene tinalonjeredwa ndi anthu a madera osiyanasiyana anali akuyimba pamene tinkafika. Mpira wa pakati pa timu ya Young Challengers ndi Ngala Stars unayenda bwino kwambiri; komanso mpira wa manja wa ma timu a atsikana unalinso wokondweretsa kwambiri. Zionetsero zathu zinalandiridwa bwino kwambiri ndi mafunso abwinonso kuchokera ku gulu limene linabwera kudzaonelera."
"en: Our last performance of the project took place in Bamba on Sunday 23rd October, 2022 and there was a football match between Mthirah vs Red Rangers and a fantastic local netball match too.","ny: Chionetsero chathu chomaliza pa Projecti yi chinatitengera ku malo otchedwa Bamba pa tsiku Lamulungu pa 23 October, 2022 ndipo kunali mpira pakati pa ma timu a mpira a Mthirah ndi Red Rangers, komanso mpira wa manja woti unasangalatsanso kwabasi."
en: Malawi Tour 2022,ny: Ulendo wa ku Malawi mu 2022
"en: Our team of performers, scientists, community members and dancers took our newly-developed Talk About Tsetses performance and giant tsetse fly to areas affected by African sleeping sickness in Rumphi and Nkhotakota over a period of 2 weeks in October 2023.","ny: Gulu lathu la a zionetsero, a sayansi, anthu ochokera mumidzi ndi anthu ovina anatengera zionentsero zathu zatsopano za ""Tikambe za Kashembe"" ndi chi kashembe chachikulu ku madela amene akuvutika ndi matenda a kashembe ku Rumphi ndi Nkhotakota pa nthawi yokwanira ma sabata awiri mu mwezi wa October 2023."
en: Our activities were part of local football and netball bonanzas in villages in the areas and we were joined by dance and music troupes from the local communities. We hosted question and answer session at each performance to encourage conversation about African Trypanosomiasis.,"ny: Zochitikachitikazi zinali gawo limodzi la masewero a mpira wa anyamata ndi mpira wa manja wa atsikana mu midzimu, ndipo kunabweranso ovina zachikhalidwe ochokera mu mudzi momo. Tinakonzanso nthawi ya mafunso ndi mayankho pa zionetsero za kuli konse kumene timapitako, kuti tilimbikitse kukambirana za matenda a kashembe amtundu wamu Africa."
en: Performance at Partick Thistle Stadium,ny: Zionetsero ku Stadiyamu ya Partick Thistle
"en: The Street Scientists performed on Saturday, 6 August 2022 at Furhill Stadium, during the half time break of the Scottish Championship Football League game between Partick Thistle Football Club and Hamilton Academical.","ny: A katswiri a Sayansi wa anapanga zionetsero zawo Loweruka pa 6 August 2022 ku Stadiyamu ya Furhill, pa nthawi yopumira pamene kunali masewera a mpira mu Ligi ya Scottish Championship, pakati pa Partick Thistle Football Club ndi Hamilton Academical."
en: The performance got a loud ovation from the cheering crowds.,ny: Potha pa zionetserozi anthu anakuwa ndikuombera m'manja poyamikira.
"en: Partick Thistle Chief Executive, Gerry Britton, said: When researchers at the University of Glasgow reached out to us late last season about the prospect of performing an educational street theatre performance ahead of their trip to Malawi, it was a no-brainer for us to give them the platform to rehearse""","ny: Mkulu wa timu ya Partick Thistle, a Gerry Britton, anati ""Pamene azakafukufuku ochokera ku Univesite ya Glasgow anatipeza kumamaliziro a ligi ya chaka chatha kudzakamba nafe zoti adzapange ziwonetsero zawo pokonzekera ulendo wawo wa ku Malawi, kwa ife sizinafunikenso kuganiza kawiri kapena katatu koma kuwavomera ndikuwapatsa mpata woti adzapange zionetsero zawo ngati gawo lokonzekera."""
"en: The team is getting set to fly out to Malawi in the coming weeks, where The Parasite Street they will do public engagement work surrounding infectious diseases.","ny: Gululi likukonzekera kupita ku Malawi mu masabata otsatirawa, kumene atakapange zionetsero zokhudzana ndi matenda ofalikira."
"en: This after engaging the public at the Furhill Stadium, Glasgow, Scotland on Saturday 6 August 2022.",ny: Uku ndi kutsatira kwa mambo wa zionetsero umene unachitika ku Sitediyamu ya Furhill ku Glasqow m'dziko la Scotland pa 6 August 2022.
"en: A Special Radio Program on Umunthu FM Radio, on Tsetses, Sleeping Sickness and Street Science featuring Gary Chilinga and Dr Jacob Kafulafula, from Nkhotakota District Health Office.","ny: Pologramu yapadera ya pa Wailesi ya Umunthu FM, yokamba za tizilombo ta kashembe, matenda a kashembe komanso Street Science pamene okambira ake anali a Gary Chilinga ndi Dr Jacob Kafulafula, ochokera ku Ofesi ya zaumoyo ya boma la Nkhotakota, Nkhotakota District Health Office."
"en: Hear from Dr Walt Adamson on his experiences on the Street Science performances in Malawi, 2022",ny: Imvani kuchokera kwa Dr Walt Adamson pa zokhudza Projekiti yi
en: Learn from Dr Nicola Veitch on her experiences in the Project.,ny: Imvani kuchokera kwa Dr Nicola Veitch pa zokhudza Projekiti yi.
"en: Get to know the Theatre Director Alan, and his thoughts on the Performances","ny: Dziwani Mkulu wotsogolera zionetsero zathu, Alan Richardson, ndipo imvani maganizo awo pa za zionetserozi."
en: A Comic Book about Sleeping Sickness,ny: Kabuku ka Nkhani ya Matenda a Kashembe
en: A nightmarish parasite capable of disguising itself from the immune system and hiding undetected in the body.,ny: Kachirombo koopsya kamene kali ndi kuthekera kodzibisa kokha ku chitetezo chamthupi ndi kukhala mobisika mu thupi la munthu.
"en: This is a 360 Video. Hence please use your cursor on the Video, or move your phone around if you are viewing on a phone to move round the festival site. The video is best viewed from resolution 1080sHD and above.","ny: Vidiyo iyi inajambulidwa mwaukadaulo wa 360 . Choncho gwiritsani ntchito cholozera pa kompyuta yanuyo, kapena kuzunguza foni yanuyo ngati mukuonera vidiyoyi pa foni, kuti muone bwino mmene zinalili pa Vidiyoyi ikuoneka bwino pa kakokedwe ka vidiyo pa mulingo wa 1080sHD kapena kuposera apo."
en: Our Street Scientists gave the Furhill Stadium football crowd a chance to get involved with learning the science behind the spread of infections and the role of antibodies within the body.,ny: Akatswiri a Sayansi athuwa anaperenga mwayi kwa oonera mpira ku Stediyamu ya Furhill kuti amvetsetse za kufala kwa matenda ndi gawo limene chitetezo chamthupi mwathu chimatenga potiteteza ku matendawa.
en: Sleeping Sickness: A tale of Shape Shifting Parasites,ny: Matenda a Kashembe: Nkhani ya tizilombo todzizimbayitsa
en: Learn more about the human African trypanosomiasis.,ny: Phunzirani za matenda a kashembe a mtundu waku Afrika.
"en: Watch an overview of the public engagements of the Street Scientists in Malawi, particularly in Rumphi and Nkhotakota in October 2022.","ny: Onerani zina ndi zina za zionetsero za akatsiwiri a Sayansiwa ku Malawi, makamaka ku Rumphi ndi Nkhotakota, mu October 2022."
en: Talk About Tsetses,ny: Tikambe za Kashembe
en: Let us talk about tsetse flies and their impact on health. This is an public engagement video on tsetse flies and trypanosoma.,"ny: Tiyeni tikambe za kashembe ndi bvuto lake pa za umoyo. Iyi ndi vidiyo yothandizira kulongosola za kachilombo kashembe, komanso matenda a kashembe."
en: Please give her your feedback,ny: Chonde pelekani maganizo anu
en: PUBLIC STATEMENT ON THE FUTURE OF MALAWI LEADERSHIP,ny: UTHENGA KWA FUKO LA MALAWI PA TSOGOLO LA UTSOGOLERI WA DZIKO
en: Introduction,ny: Mawu oyamba
"en: Fellow Malawians, it is with great conviction and patriotism for my country, that I have decided to speak on issues that are affecting us all. I say conviction and patriotism for my country because in taking this stand, I am well aware of the associated risks to me personally, my family and my colleagues. However, my personal comfort plays subordinate to the national good. It is on that basis that I have braved to make this statement.","ny: A Malawi anzanga, zanditengera kutsutsika mu mtima ndi kukonda dziko lathu, kuti ndilankhule nanu pa nkhani zomwe zikutikhudza tonse. Ndikunena kuti kutsutsika mu mtima ndi kukonda dziko lathu chifukwa pochita izi, ndikudziwa bwino za zoopsa zomwe zingabwere kwa ine, a pa banja anga komanso anzanga. Komatu ine ndimakhulupirira kuti umtambasale wanga usamakhale wofunika koposa ubwino wa fuko la Malawi. Ndi ganizo limeneri, ndalimba mtima kuti ndiyankhule."
"en: I am inspired by the many brave Malawians who have come before me. From the time of Reverend John Chilembwe to Dr. Kamuzu Banda, who fought against a white establishment for us to attain political independence. I am inspired by the likes of Dr. Bakili Muluzi, late Chakufwa Chihana, late Aleke Banda and all those who braved the one-party system in the early 1990s for us to have democracy. These Malawians knew the risks so well but put the interest of the nation far ahead of their personal interests. If it were not for their sacrifices, perhaps we would until today be under colonial rule or under one-party system. This statement I am making is a fruit of their sacrifices. I am personally indebted to them all.","ny: Ndine olimbikitsidwa ndi aMalawi ambiri olimba mtima omwe adatenga mbali zaka zapitazo. Kuyambira nthawi ya m'busa John Chilembwe mpaka Dr. Kamuzu Banda, omwe adalimbana ndi ulamuliro wa azungu kuti tipeze ufulu wodzilamulira. Ndine olimbikitsidwa ndi omwe adalimba mtima kulimbana ndi ulamuliro wa chipani chimodzi kuti tikhale ndi demokalase. Awa ndi monga Dr. Bakili Muluzi, malemu Chakufwa Chihana, malemu Aleke Banda ndi ena ambiri. AMalawi amenewa ankadziwa mavuto obwera chifukwa chotenga mbali posintha ndale koma adaika zofuna za dziko patsogolo. Pakadapanda kudzipereka kotere, mwina mpaka lero tikanakhala pansi pa ulamuliro wachitsamunda kapena pansi pa ulamuliro wa chipani chimodzi. Ineyo kukhala ndi mwai wokuyankhulani ndi chipatso cha ntchito imene anthu amenewa adagwira. Ndine wothokoza kwa makolo athu amenewa."
"en: Malawi is a country well-endowed with natural resources and a predominantly youthful and energetic human resource which unfortunately is currently under- utilized. Malawi has everything required for her people to economically develop except it lacks effective leadership. Our development challenges have remained the same. Economic growth rate remains low, children still learn under a tree, health facilities are poorly resourced, some people have yet to have access to safe drinking water, agriculture is largely rain-fed and subsistence, markets for agricultural produce are weak and unpredictable, few people own houses in urban areas and only few houses in rural areas are permanent, transport system is inefficient and expensive, university students from low income households continue to face the risk of withdrawal on account of lack of tuition fee or upkeep expenses, small and medium enterprises cannot grow because the business environment is less conducive and some districts have yet to have tarmac road until now.","ny: Dziko la Malawi liri ndi zonse zofunika kuti anthu ake atukuke pachuma kupatula kuti tiribe utsogoleri wodziwa ntchito, wa ngwiro ndi wotumikira nzika zake. Ana a sukulu akuphunzirabe pansi pa mitengo. Zipatala zilibe mankhwala ndi zipangizo zokwanira. Madera ena anthu akumwa madzi oyipa. Ulimi siwukutukuka. Alimi alibe misika yogula pa mtengo wopereka phindu ku zokolola zawo. Anthu ambiri wokhala mmizinda ndi ma matauni amakhala nyumba za eni zolipira. Mtengo wa minibus kupita ku ntchito ndi ku bizinezi ndi wokwera kwambiri. Wophunzira ena ku university sakumaliza maphunziro awo chifukwa chosowa ndalama za fizi komanso kugula chakudya. Mabizinezi ang’ono ang’ono akulephera kukula chifukwa malonda sakuyenda. Madera ena mpaka pano, zake 58 tikudzilamulira tokha, sadakhale ndi nseu wa phula."
"en: In fact, if one reads the priorities in the 1965 Nyasaland Development Plan and compare with priorities in the Statement of Development Policies in 1970s to mid- 1990s, then read Vision 2020 and then read Malawi 2063, it is clear that our priorities have remained the same. The reason they have remained the same is because they remain challenges because we have not made noticeable improvement as a country. The reason they remain challenges is because no leadership has addressed any key priority exhaustively. We still discuss food insecurity. We still discuss poor access to safe drinking water. We still discuss lack of all-weather roads in some areas. We still discuss poor access to electricity. We still discuss lack of profitable markets for farmers. We still discuss high unemployment especially among the youth.","ny: Ndondomeko za chitukuko kuyambira pamene tidalandira ufulu wodzilamulira kufika pano zakhala zikukamba zinthu zimodzimodzi zoyenera kuchita. Chifukwa chokambira zinthu zimodzimodzi ndi chifukwa zinthuzo zikanali mavuto amene tikukumana nawo. Palibe utsogoleri umene udabwera nkuthetsa vuto motheratu. Mfundo zathu za chitukuko zimakambabe zothetsa njala, zobweretsa madzi akumwa, za kukonza misewu, kuchepa ndi kuzimazima kwa magetsi, kusowa kwa misika yodalirika ndi yogula pa mtengo wabwino kwa alimi komanso tikadalimbana ndi ulova kwenikweni kwa achinyamata."
en: Economy,ny: Chuma
"en: Fellow Malawians, our economy remains small, vulnerable to shocks and we continue carrying the Least Developed Country label. Even more irritating is that countries which have been at war or in conflict have economies stronger than ours. The weak economy we have is not the make of nature. It is the make of our leaders. While acknowledging periods of progress, such periods have been episodic and short-lived.","ny: A Malawi anzanga, dziko lathu likadali mu gulu la maiko osaukitsitsa pa dziko lapansi. Chokhumudwitsa kwambiri n’chakuti mayiko amene akhala ali pa nkhondo kapena pamikangano ali ndi chuma champhamvu kuposa chathu. Chuma chofooka chomwe tili nacho sichinthu chachilengedwe. Ndi mapangidwe a atsogoleri athu. Ndivomereze kuti pakhala nthawi zina zimene chuma chathu chimaoneka kuti chayamba kuyenda bwino koma nthawi yotere yakhala ya apa ndi apo komanso nthawi yochepa. Kwa nthawi yayitali mu ufulu odzilamulira tokha chuma chathu chakula monyentchere."
"en: Malawi has capacity to feed itself and other countries given its abundant water resources for irrigation. Malawi has capacity to substitute imports and to increase exports and in so doing improve her balance of payments, stabilize exchange rate and contain inflation rate. Malawi has capacity to manage its own budget without heavy borrowing.","ny: Dziko la Malawi liri ndi kuthekera kodzidyetsa lokha komanso kudyetsa maiko ena. Dziko la Malawi liri ndi kuthekera kopanga katundu wambiri lokha ndikuchepetsa katundu wogula kunja, potero ndikuthandiza kuti ndalama zakunja zomwe timapeza ndi ndalama za kunja zimene timazifuna zidzikwanirana. Zikatero mitengo ya katundu imakhala yotsika komanso yokhazikika. Dziko la Malawi liri ndi kuthekera koyendetsa ndondomeko ya ndalama (budget) kugwiritsa ntchito ndalama zimene timatolera ku misonkho ndi njira zina popanda kutenga ngongole zambiri."
"en: Sadly, people we have put in position of power to advance our common interests have opted to pursue personal interests, maintain luxuries and perpetuate the status quo at the expense of common Malawians whom they are meant to serve. There is both outright impunity and institutionalized impunity. An example of institutionalized impunity is the heaping of allowance entitlements to cabinet members and senior government officers when middle and junior level officers continue earning low salaries.",ny: Chomvetsa chisoni n’chakuti anthu amene tawaika m’maudindo kuti apititse patsogolo miyoyo yathu asankha kudzikundikira iwo eni ndipo sakufuna kusintha zinthu zimene ziri zolakwika zongowononga ndalama za boma. Anthu tikuponderezedwa njira zosiyanasiyana. Pali kupondereza kwa pa mbalambanda ndiye pali kupondereza kochita kukhazikitsidwa mu ndondomeko. Chitsanzo cha kupondereza kokhazikitsidwa mu ndondomeko ndi kudzikundikira ndalama za alawansi za nduna ndi achiwiri awo komanso akuluakulu ogwira ntchito za boma pamene maudindo a ogwira ntchito mu boma a pansi akulandira ndalama zochepa. 
en: We have a system which just fuel allowance entitlement of a cabinet member is worth more than a salary of a Principal Secretary and fuel allowance entitlement of a Principal Secretary is worth more than a salary of a middle level officer. The same is the case in state owned enterprises.,ny: Taganizani kuti ndalama zopatsidwa kuti nduna idzigula mafuta a galimoti zimaposa malipiro a mlembi wamkulu mu unduna. Ndalama zopatsidwa kuti mlembi wamkulu adzigula mafuta a galimoti zimaposa malipiro a ofisala amene akuwayang’anira. Izi ziri chimodzimodzi mu makampani a boma.
"en: I stand with you; teachers, police officers, healthcare workers, agriculture extension workers and many others whose salary is a fraction of just one allowance entitlement of a senior public officer and a minister. Surely, this is institutionalized impunity and must stop.","ny: Ine ndiri mbali ya inu; aphunzitsi, apolisi, ogwira ntchito zachipatala, alangizi a zaulimi ndi ena ambiri omwe malipiro anu ndi gawo chabe la alawansi imodzi ya akuluakulu ochepa a boma ndi nduna. Zowonadi, uku ndikuponderezana ndipo kuyenera kuthetsedwa."
"en: I stand with you parents whose children are learning under a tree. I stand with you families who are struggling to put food on the table. I stand with you families whose sick relatives are sent back from hospital without receiving treatment. I stand with you, university students, who are struggling to meet upkeep expenses. I stand with you who are looking for a job which you are not able to find. I stand with you farmers who have been at subsistence level without hope of growing to a higher level. Your next government will stand with you. It will be a government whose job is to offer solutions and will address the challenges you are facing. You can count on me.",ny: Inetu ndiri ndi inu makolo amene ana anu akuphunzira pansi pa mtengo. Ndiri nanu mabanja amene mukuvutika kuti mupeze chakudya. Ndiri nanu mabanja amene abale anu wodwala awuzidwa ku chipatala kuti mankhwala kulibe. Ndiri nanu wophunzira ku university amene mukulephera kumaliza maphunziro anu chifukwa chosowa ndalama zolipira komanso kugula chakudya. Ndiri nanu inu nonse amene mukusaka mwai wa ntchito koma osayipeza. Ndiri nanu alimi ang’ono ang’ono amene ulimi wanu siwukupita patsogolo. Boma lanu limene libwere lidzakhala boma lopereka mayankho ndipo tidzathetsa zobetchera zimene zilipozi. Ine mundidalire chifukwa ndikudziwa bwino zoyenera kuchita kuti zinthu ziyende bwino kwa aliyense m'dziko muno.
