sentence,category,chich_gloria,chich_shadreck
"""We have leant big lessons that we made a big mistake in 2016 and its high time we revisit the Electricity Act,"" He said.",News,"Taphunzira Phunziro lalikulu kuti tinalakwitsa mu 2016 ndipo tsopano nthawi yakwana yoti tioneso lamulo la za Magetsi', iwo adatero",
"She said: “To achieve that, we are promoting dairy farming in the South.",News,Iye adati kuti tikwaniritse zimenezi tikulimbikitse ulimi wa nkaka ku south Africa,"Iwo anati: ""Kuti tikwanitse zimenezi, tikulimbikitsa ulimi wa mkaka South Africa."
Mphonda added that they expect to recruit new contractors to finalise the works.,News,Mphonda adaonjezera kuti akuyembekezera kulemba ma kontilakita a tsopano kuti amalizitse ntchito,
"The project, valued at K650 million, was scheduled to be completed in 2022, the website further says.",News,"Pulojekiti yokwana MK650 miliyoni kwacha imayembezekela kumalizika mu 2022, Webusaiti inapitiliza kunena choncho",
"While others are trying everything possible to unite and at least speak with one voice, there is one person who thinks this moment is all about him—former president Peter Mutharika.",News,"Pomwe ena akuyesetsa kuyanjanitsa anthu ndi kuti mwina aziyankhula ndi mawu amodzi, pali munthu wina yemwe akuganiza za iye yekha",
"“Currently, we are only issuing passports to those who have got emergencies such as medical evacuation, government trips and students flying out for studies,” he said.",News,"Pakali pano ziphaso zotulukira mudziko zikupelekedwa kwa anthu omwe ali ndi zadzidzi monga opita kuchipatala, ma ulendo a boma ndi ophunzira omwe akukaphunzira kunja, iye adatero",
He said a passport is a right for every Malawian and it is not something that people should treat as luxury.,News,Iye adati Chiphaso chotulukira mayiko ena ndi ufulu wa Malawi aliyese kukhala nacho ndipo anthu asachitenge ngati chamanyado,
We promise to handle your information with care,Online,Tikulonjeza kusamala unthenga wanu mosamala,Tikulonjeza kusamala unthenga wanu mosamala
"Sorry, something went wrong",Online,"Pepani, china chake chinalakwika","Pepani, china chake chinalakwika"
"Speak up, contribute here!",Online,"Yankhulani, pelekani maganizo anu pano!","Lankhulani, perekani maganizo anu pano!"
"If you know someone with heart problems, please inform them. This is for free.",WhatsApp,"Ngati mukudziwa winawake ali ndi vuto la ntima, chonde tidziwitseni.Izi ndi za ulele","Ngati mukudziwa wina aliyense yemwe ali ndi vuto la mtima, chonde adziwitseni. Izi ndi zaulere"
"Good morning friends. Queen Elizabeth Central Hospital will be receiving Cardiologists who will treat patients with heart problems from 8th May to 13th May, 2023.",WhatsApp,"Mwadzuka bwanji Anzanga. QECH ikhala ikulandila dokotala wa za mtima yemwe adzakhale akuthandiza odwala omwe ali ndi vuto la mtima kucjokera pa 8 Meyi mpaka pa 13 Meyi, 2023","Moni azizanga, Quees central hospital chikhala chikulandira dokotala owona mthenda yokhuza Mtima kuyambira pa 8 May kufikira pa 23 mu chaka cha 2023."
People will judge me and say what they want to say but I believe only God has the final say.,WhatsApp,Anthu adzandiweruza ndiposo adzanena zomwe akufuna kunena koma ine ndimakhulupilira mulungu ndiyemwe ali ndi chonena chomaliza,Anthu andiweruza ndikundinena mmene anganenere koma ndikukhulupilira kuti Mulungu akudziwa bwino.
Martse died last year after succumbing to fire burns.,WhatsApp,Martse anamwalira chaka chatha kamba kamabala a moto,Martse anamwalira chaka chatha chifukwa cha zilonda za moto zomwe anali nazo kamba kowotchedwa.
The council has since issued Nyirenda with a warning letter.,,Khonsolo yamupatsa Nyirenda kalata ya chenjezo,Nkhosolo yapereka chikalata chochenjeza a Nyirenda.
Stay calm.,Online,Dekhani,Nkhalani a bata
Answer me.,Online,Ndiyankheni/ndiyankhe,Ndiyankheni
"You can dance, can't you",Online,"Utha kuvina, sichoncho?","Ukhoza kuvina, sichocho"
I passed by her house yesterday,Online,Nnadutsa panyumba pa kwawo dzulo,Ndinadutsa kunyumba kwake dzulo
He is fluent in French.,Online,Amayankhula french bwino,Amayakhula kwambiri chifalasa
Tom asked me what I had been doing,Online,Tom aadandifunsa zomwe ndakhala ndikupanga,Tom anandifunsa ine zomwe ndakhala ndikuchita
A girl in karate uniform breaking a stick with a front kick.,Online,Tsikana wavala uniform yachikalate waphwanya ndodo ndi theche lakutsogolo.,Tsikana wavala uniform yachikalate waphwanya ndodo ndi theche lakutsogolo.
People are fixing the roof of a house,Online,Anthu akukhoza denga la nyumba,Athu akukonza denga la nyumba
A group of people standing in front of an igloo.,Online,Gulu la anthu la ima kutsogolo kwa nyumba,Gulu la wathu layima kutsogolo kwa igloo
A man in a vest is sitting in a chair and reading a magazine,Online,Mwamuna wavala vest wakhala pampando ndipo akuwerenga magazine,Mwamuna wavala vest wakhala pampando ndipo akuwerenga magazine
There are many people standing outside of a building.,Online,Pali athu ambiri omwe ayimilira kunja kwa chimango/ nyumba,Pali athu ambiri omwe ayimilira kunja kwa chimango/ nyumba
A teenager plays her trumpet on the field at a game,Online,Wachisodzera anayimba lipenga pamalo amasewerowo,Wachisodzera anayimba lipenga pamalo amasewerowo
The young lady is looking at the pizza,Online,Nzimayi wachichepere akuyanga'na Piza,Tsikana wachichepere akuyang'ana pa pizza
He never mentioned that journey .,Online,Sanatchuleko za ulendo umenewo,Sananenepo za ulendowo.
"After two years in hiding , my grandfather appeared in London .",Online,"Patatha zaka ziwiri akubisala, agogo anga anawoneka ku Landani","Patatha zaka ziwiri akubisala, agogo anga anawonekera ku London."
He was never right again .,Online,Iyeyo sanakhozepo,Ananamanso.
"Now , we follow state and local regulations .",Online,"Tsopano, timatsatila boma ndi malamulo omwe alipo.","Tsopano, timatsatila boma ndi malamulo omwe alipo."
You can do a lot of things,Online,Utha kupanga zinthu zambiri,Ukhoza kupanga zithu zambiri
"So I immediately called her up , of course",Online,"Ndipo mpopompopo ndinamuitana, ndichocho","Ndipo mpopompopo ndinamuitana, ndichocho"
This is very promising .,Online,Zili ndi tsogolo,Zili ndi tsogolo
"I mean , at the end , will he be able to work ?",Online,"Ndikutathauza, kumapeto, atha iyeyo kugwira ntchito?","Ndikutathauza, kumapeto, atha iyeyo kugwira ntchito?"
This is why we are here .,Online,Ichi ndichifukwa chake tili pano,Ichi ndi chifukwa chake tili pano.
"When we give people the opportunity to cheat , they cheat .",Online,"Tikawapatsa athu danga lonama/ kuwuzilana, amanama/amauzilana.","Tikawapatsa athu danga lonama/ kuwuzilana, amanama/amauzilana."
"Do I have a place , a venue , in mind when I write ?",Online,Ndili ndi kuthekera kodi kukhala ndi malo maganizo ndikamalemba?,Ndili ndi kuthekera kodi kukhala ndi malo maganizo ndikamalemba?
This is the enemy .,Online,Uyu ndi mdani wanga,Uyu ndiye m'dani.
Just people sending their pictures .,Online,Athu kugotumiza zithunzi.,Athu kugotumiza zithunzi.
"And when you turn the switch off , the light goes off .",Online,"Ndipo ukazimitsa siwitchi,","Ndipo mukazimitsa pa switchipo, kuwala kumachoka."
Some drivers feel its not fair that some traffic can go through while they have to wait. Something has to be done before things turn violent,News,Oyendetsa galimoto akuona kuti sizabwino kuti magalimoto ena akudutsa pomwe ena akuyenera kudikila. Chinachake chikuyenera kuchitika zinthu zisanalowe chisokonezo.,
I'm angry.,Online,Ndakwiya/nakwiya,Ndakwiya
I'm broke.,Online,Nilibe ndalama,Ndilibe kuthekera/ ndilibe ndalama
I'm obese.,Online,ndine onenepa mopyola muyezo,Ndanenepa
Ignore it.,Online,Zitaye,Ndazitaya.
Keep warm.,Online,Zitethetse,Zitethetse
She smiled.,Online,anamwetulira,Anamwetulira.
Who's that?,Online,Ndindani,Ndindani ameneyo?
I saw a dog.,Online,Ndinawona galu,Ndinawona galu.
No means no.,Online,Ayi amatanthauza Ayi,Osatathauza kathu.
Tom was charged with drunken driving after he was involved in a car accident in Boston.,Online,Tom anazengedwa mulandu woyendetsa ataledzera atachita ngozi ku Bositoni,Tom analipilitsidwa chifukwa chochita ngozi atayendetsa galimoto atamwa mowa ku Bosto
Tom's reached a point in his life where he has to make some pretty important decisions.,Online,Tom wafika pa nthawi/ mlingo pa moyo wake yakuti akuyenera kupanga zisankho zofunikira,Tom pa umoyo wake anafika popanga chiganizo chofunikira
"When the rock singer appeared on the stage, the audience at the concert clapped loudly.",Online,"Pamene owiyimba wachamba cha Roku anaonekera pa nsanja , ku chilinganizo choyimba nyimbo anthu anawombera mmanja mokweza/kwambiri","Pamene woyimba wa rock anawonekera pa nsanja, khwimbi la wathu linawomba manja mokweza."
Who am I? Where do I come from? Is there life after death? What is the meaning of life?,Online,Ndine ndani/yani? Ndimachokera kuti? Kodi uliposo moyo wina ukatha moyowu/tikamwalira?Kodi tanthauzo la moyo ndi chani/chiyani?,Ndine ndani? Ndimachokera kuti? Kodi kuli moyo utafa? Tathauzo la moyo ndi chiyani?
Why don't we have enough food for everyone? I thought you went shopping this afternoon.,Online,Kodi ndichifukwa chani tilibe chakudya chokwanira aliyese? Ndi mayesa munapita kogula zinthu masana.,Chifukwa chani tilibe chakudya chokwanira cha wina aliyense? Ndimaganiza kuti munapita kukagula masanawa?
Amnesty International often organizes public protests in support of political prisoners.,Online,Bungwe lowona za ufulu wa anthu pa dziko lose nthawi zambiri limapanga chilinganizo cha zionetsero pothandizira akaidi a ndale,
"Before we get started, I'd just like to say a few words about how important this job is.",Online,"Tisanayambe, Ndili ndi mau ochepa chabe okhudza zakufunikira kwa ntchitoyi.","Tisanayambe, ndimafuna ndiyakhulepo pang'ono zakufunika kwa ntchitoyi."
"Eat a live frog every morning, and nothing worse will happen to you the rest of the day.",Online,Uzidya chule wa moyo mmwawa uliwose ndipo tsiku lanu silidzaonongeka/ choipa sichidzakuchitikilani,"Udye chule wamoyo m'mamawa uliwonse, ndipo palibe choipa chigakuchitikire tsiku limenelo."
I appreciate it when a native speaker tries to help me sound more like a native speaker.,Online,Ndimayamika pamene mbadwa yachiyankhulo ikuyesetsa kundithandiza kuyankhula chiyankhulo momveka ngati mbadwa yachiyankhulocho,
I had to change clothes because what I was wearing wasn't appropriate for the situation.,Online,Ndidasintha zovala chifukwa zomwe ndidavala sizimagwirizana ndizochitika panthawiyo.,Ndimayenera kusitha zovalahifukwa zomwe ndinavala poyamba sizimagwirizana ndi mwambo omwe umachitika pathawiyo.
"I used to think that only bears hibernate, but the teacher said that turtles do as well.",Online,"Ndinkaganiza ngati ndi ma beya okha omwe amagona nthawi yayitali/ amanamizira kufa , koma aphunzitsa anatiso Nkhase nazo zimapanga chimodzimodzi",
"If I can get a book from the library, it saves me from having to buy it in the bookshop.",Online,"Ngati ndingapeze buku mu liyibulale, zitha kundipulumutsa kugula buku ku bukushopu","Nditakwanitsa kupeza buku ku library, zindithandiza kuti ndisagule ku bookshop."
"In retrospect, Tom realized he shouldn't have been dating both sisters at the same time.",Online,"Atalingalira mwakuya, Tom anazindikira kuti samayenera kupanga ubwezi ndi achemwali awiri nthawi pa nthawi imodzi",
It was boredom that Aldous Huxley considered one of the most dangerous human conditions.,Online,Zinali zokwana kuti Aldous Huxley analingalira chimodzi mwa zinthu zoopsa pa chikhalidwe cha anthu.,
"Originally, Abraham Lincoln wanted all slaves to be deported to Africa or the Caribbean.",Online,"Poyamba, Abulahamu Linkoni ankafuna kuti akapolo onse abwezedwe ku Afilika kapena ku Karibiyani.","Zenizeni, Abraham Lincoln amafuna akapolo onse atumizidwe ku Africa kapena ku Caribbea"
"Sometimes, it's hard to tell when Tom is being serious and when he's just joking around.",Online,"Nthawi Zina, ndizovta kudziwa ngati Thomu akupanga za zenizeni kapena zocheza","Nthawi zina, ndizovuta kusiyanitsa kuti Tom akutathauza izo kapena akugonena macheza chabe."
The Japanese pay more attention to the group or the organization than to the individual.,Online,Anthu aku Japani amaonetsa chidwi kwambiri pa gulu la anthu kapena bungwe kusiyana ndi munthu mmodzi,Japanese amalabadira kwambiri za gulu la wathu kapena bungwe kusiyana ndi munthu payekha.
The first thing we should do is write and thank your brother-in-law for his hospitality.,Online,Choyamba chomwe tikuyenera kuchita ndikulembera ndikuthokoza alamu ako potilandila bwino,Choyambilira choti tichite ndi kulemba ndikuthokoza mlamu wathu pachisamaliro.
The point of true mutual understanding has not yet been reached between Japan and China.,Online,Chimake chenicheni chovetsetsana pakati pa Japani ndi Tchiyina sichinafikepo,
The understanding of the present is impossible without a good understanding of the past.,Online,Kuvetsetsa za nthawi ino nkosatheka ngati sitivetsa bwino za m’buyo,Kumvetsa makono ano ndikosatheka pokhapokha kuyamba kumvetsa kale kapena mbiri.
Tom leaned out the window of his car and pressed the button on the intercom at the gate.,Online,Thomu anatsitsa zenera la galimoto yake ndipo anadina batani la intakomo pa gate,Tom anatsamila window la galimoto yake ndipo anatobwanya batani la geti pa intercom.
Tom loves coming here since he thinks this place serves the only fast food worth eating.,Online,Thomu Amakonda kubwera kuno chifukwa akuganiza kuti ndimalo okhawo omwe amagulitsa zakudya zabwino,Tom amakonda kubwera kuno chifukwa amaganiza kuti malo ano ndiokhawo amene amagulitsa chakudya choyenera kudya munthu.
"Tom wanted to give you a surprise party, but I knew you'd hate it, so I told him not to.",Online,Thomu amafuna akudzidzimutse ndi phwando koma ndinadziwa kuti udana nazo ndiye ndinamuletsa.,"Tom amafuna kuti apange mphwando losayembekezera, koma ndinadziwa kuti udananazo. Ndiye ndinamuuza kuti asoke madyererowa."
Tom was drinking at a bar with Mary at the time the police think that John was murdered.,Online,Thomu amamwa ku bala ndi Mele pa nthawi imene apolisi amaganiza kuti Joni anaphedwa,Tom anali akumwa ku bar pamodzi ndi Mary pa nthawi yomwe a Police amaganiza kuti John anaphedwa.
What surprised me most about that accident is how fast the lawyers arrived on the scene.,Online,Chomwe chinandidabwitsa kwambiri chokhudza ngoziyo ndimomwe oyimirira milandu anafikira mwachangu pamalo angoziwo,Chomwe chinandidabwitsa ine pagoziyi ndi mmene ozenga milandu anafika pamalo angoziwa.
"When darkness falls, the baboons return to the trees to sleep, safe from night prowlers.",Online,"Mdima ukagwa, anyani amabwerera mmitengo kokagona, motetezeka kuzinthu zoyendayenda","Pamene m'dima wangwa, anyani amabwerera mitengo kukagona , kuziteteza ku zowaononga."
"When you get married and have kids, you'll realize that actions speak louder than words.",Online,"Ukakwatira ndikukhala ndi ana, ndipomwe umazindikira kuti zochitika zimayankhula mokweza kuposa mau","Uzakakwatira ndikukhala ndi wana, uzazindikira kuti machitidwe amayakhula kuposa zonena za pakamwa."
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Online,"Nthawi zonse pamene ukupezeka kumbali yagulu, ndi nthawi imene ukuyenera kuyima kaye ndikuunikira/kuganizira/kulingalira","Pamene upezeka kuti uli ku chigulu cha wathu, ndi nthawi yoti uyime kaye ndi kuganizanso bwino lomwe."
Almost everyone in the class voted in favor of having a thank-you party for the teachers.,Online,Pafupifupi aliyese mu kalasi anasankha ganizo lakuti pakhale mphwando lothokoza aphunzitsa,Pafupifupi wina aliyense mu kalasi anavotera ganizo loti tikhale ndi madyerero othokoza a mphunzitsi.
"As the iron was heating up, Mary poured distilled water into the reservoir to make steam.",Online,"Pamene chitsulocho chima tentha, Mele anathila madzi otchezedwa mu chosungilamo kuti apange thunzi",
"Because of the problem of air pollution, the bicycle may some day replace the automobile.",Online,"Chifukwa chakuonongeka kwampweya, tsiku lina njinga itha kudzabwezeretsa galimoto","Chifukwa cha vuto la mpweya owononga chirengedwe, njinga ya kapalasa tsiku lina izalowa mmalo mwa galimoto."
Do you know the reason why two-thirds of the students did not attend the student meeting?,Online,Kodi mukudziwa chifukwa chimene theka la ophunzira sanabwerele ku mkumano waophunzira?,Kodi mukudziwa chifukwa chomwe ophunzira pafupifupi theka sanatenge nawo mbali pa kumano wa ophunzira?
English is quite often the language of choice when speaking to an international audience.,Online,Chizungu nthawi zambiri ndi chiyankhulo cha chisankho ukamayankhula makamaka kwa anthu akunja/ a mayiko ena,Chiyankhulo cha chizungu ndi chomwe nthawizambiri chimasankhidwa kugwiritsidwa nthito pa nthawi yomwe mukuyakhula ku gulu la wanu ochokera mayiko osiyanasiyana.
"I had an appointment at 2:30, but I got caught in traffic and couldn't get there in time.",Online,"Ndinali ndinkumano nthawi ya 2:30, koma kuchulukakwa galimoto munsewu, sinnakwanitse kufika kumeneko nthawi yabwino","Ndinali ndi kumano pa 2:30, koma ndinahedwa chifukwa pa msewu panali podzadza ndipo sindikanafika nthawi yoyenererayi."
"If I can get a book from the library, it saves me from needing to buy it in the bookshop.",Online,"Ngati ndingapeze buku mu liyibulale, zitha kundipulumutsa kugula buku ku bukushopu","Ngati ndikapeze buku mu library, izi zindithandiza kuti ndisafune kukagula bukuli ku bookshop"
It is illegal in the United States for law enforcement to use torture to get information.,Online,Ndizoletsedwa ku Yunayitedi Stetsi kuti anthu azamalamulo azigwilitsa ntchito nkhanza/kuzunza kuti apeze uthenga,Ndi mulandu ku United state kwa apolice kuzunza ndi cholinga choti apeze umboni
"Louis Braille, who was blind from the age of three, invented a way for the blind to read.",Online,"Luwisi Bulelo,yemwe anasiya kuona ali ndi zaka zitatu, anapeza njira yowerengera ya anthu osawona.","Louis Braille, amene anali wosaona ali ndi zaka zitatu zakubadwa, anapanga njira yoti osaona azitha kuwerenga."
"Mary's not the first woman to fall in love with a married man, and she won't be the last.",Online,"Mele sinzimayi oyamba kugwa m’chikondi ndi munthu okwatira, ndipo sakhalaso omaliza",Mary si mkazi woyamba kugwa mu chikondi ndi mwamuna wapabanja ndipo sazakhalanso omaliza.
Police immediately sealed off the streets around the hotel as they searched for the bomb.,Online,Apolice anatseka mwachangu misewu yose yozungulira hotela pomwe amasaka bomba,A police nthawi yomweyo anatseka msewu wopita ku hotel pamene amafufuza bomba.
The black and white bears living in the mountains in China and Tibet are called 'pandas'.,Online,Ma beya akuda ndi oyera omwe amakhala mu mapiri a Tchayina ndi Tibeti amatchedwa ma ‘Panda’,
The police found Tom lying on the floor with a bullet hole in the middle of his forehead.,Online,Apolice adamupeza Thomu atagona pansi ali ndi bowo la bomba pakati pa chipumi pake,A police anapeza Tomatagona pansi ali ndi bowo la chipolopolo pakati pa chipumi chake.
The politician said he was deeply indebted to everyone for their support in the election.,Online,Wandaleyo anati ndiwothokoza kwambiri pachithandizo chomwe aliyese anapereka pa chisankho,Wandale ananena kuti ali ndi ngongole kwawina aliyense chifukwa cha support yawo panthawi ya masankho.
"They say that in America anyone can become president, but perhaps that's not really true.",Online,"Amanena kuti ku Ameleka aliyese atha kukhala mtsogoleri wadziko, koma mwina izi sizowona kwenikweni","Amanena kuti ku Amereca aliyense akhoza kukhala president, koma izi si zoonayi."
Tom and Mary gave exactly the same answers on the test which made the teacher suspicious.,Online,Thomu ndi Mele anapeleka mayankho ofanana pa mayeso zomwe zinachititsa aphuzitsi kukhala ndi chikayiko,Tom ndi Mary anapereka mayakho ofanana pa mayeso zomwe zinapangitsa amphunzitsi kukayikira.
"Tom and Mary were speaking in French, but switched to English when John entered the room.",Online,"Thomu ndi Mele amayankhula chi fulansa, koma anasitha kupita ku chizungu Joni atalowa mu chipindamo","Tom ndi Mary amayakhula chifalasa, koma anazasintha chiyakhulo kuyamba chigerezi pamene John analowa mu chipindachi."
"Tom ate at a new restaurant the other day, but he doesn't remember the restaurant's name.",Online,"Thomu anadya malo odyera achilendo tsikul lina, koma sakukumbuka dzina la malowo","Tom anadya pa restaurant yatsopano tsiku lina lake, koma sakukumbikira za restaurant yii."
"Tom has always maintained that he is innocent, and claims to this day that he was framed.",Online,"Thomu anakakamilabe kunena kuti iye ndiwosalakwa, ndipo ananena kuti iye anachita kunamizilidwa.","Tom nthawi zonse anati iye ndiosalakwa, ndipo amati anachita kuyipitsidwa mbiri yake."
Tom killed Mary because he found out she had started the fire that had killed his family.,Online,Thomu anapha Mele chifukwa anazindikila kuti ndiyemwe anayatsa moto womwe unapha banja lake.,Tom anapha Mary chifukwa anapeza kuti ndiamene anayatsa moto omwe unapha banja lake.
"Tom told Mary that he was going to kill himself, but he didn't have the courage to do it.",Online,"Thomu anamuza Mele kuti adzipha yekha, koma analibe kulimba ntima kochitira zimenezi","Tom anauza Mary kuti azipha yekha, koma analibe chilimbikitso choti aziphe"
"Tom, Mary, John and Alice are friends. They've known each other since they were children.",Online,"Thomu, Mele, Joni ndi Alisi ndipachinzake .Iwo anadziwana ali ana","Tom, Mary, John ndi Alice ndi pachizake. Anadziwana onsewa ali wana."
"When I got my driver's license renewed, I had to decide if I wanted to be an organ donor.",Online,"Nditapangitsaso chiphaso choyendetsera galimoto, ndidayenera kupanga chisankho ngati ndimafuna kukhala opereka ziwalo","Nditapangitsa chiphanso changa choyendetsera galimoto kuyambaso kugwira ntchito, Ndimayenera kupanga chiganizo chopereka chimodzi cha ziwalo zanga."
"When someone speaks with such rhetorical flourish, it starts to sound like they're lying.",Online,"Pamene winawake wayamba kuyankhula mozungulira/mopanda chindunji, zimaveka ngati akunama",
"According to this magazine, the economic situation in Japan is getting worse year by year.",Online,"Kutengela mu magazini iyi, chuma cha Japani chikusokonerasokonekerela chaka ndi chaka","Molingana ndi magazine imeneyi, zachuma mu Japan zikuyipira-yipira chaka ndi chaka."
"Although most islands in the ocean have been mapped, the ocean floor is generally unknown.",Online,"Ngakhale zilumba zambiri za pa Nyanja yayikulu ndizochitidwa mapu, Pansi pa Nyanja yayikulu ndiposadziwika","Angakhale zilumba zambiri pa nyanja yaikulu zikudziwika, pansi pa nyanjayi sikudziwikabe."
"Among the wind instruments, the aboriginal didgeridoo made of eucalyptus was his favorite.",Online,"Pazipangizo za mphepo, abolijino dijerido yopangidwa kuchokera ku yukalipitasi inali yokondedwa kwa iye",
"Due to unforeseen circumstances, our trip to the mountains this weekend will be cancelled.",Online,"Chifukwa chazifukwa zina zoposera malingaliro athu, ulendo wathu wopita ku Phiri walephereka","Potengera zochitika zosayembekezera, ulendo wathu wopita ku Phiri ulephereka week ino."
"Even though Tom was brought up in the country, he loves the hustle and bustle of the city.",Online,"Ngakhale Thomu adakulira ku mudzi, iye amakonda udobadoba wamu nzinda",
"Happiness depends, not so much on circumstances, as on one's way of looking at one's life.",Online,"Chisangalalo chimatengera, osati kwambiri muzochitika zapa nthawi imeneyo,koma momwe munthu amawuonera moyo","Kusangalala kumatengera, osati kwambiri pa zochitika, ngati mmene muthu uzionera iwe mwini pa umoyo wako."
"History is like a waltz, eternally following the three steps of war, peace and revolution.",Online,"Mbiri ili ngati watsi, imatsatira ndandanda utatu wankhondo, ntendere ndi kuchitikaso",
I began driving our tractor when I was 12 years old to help my father out at harvest time.,Online,Ndinayamba kuyendetsa thilakitale ya kwathu ndili ndi zaka 12 ndi cholinga chothandiza bambo anga nthawi yokolola.,Ndinayamba kuyendetsa thilakitale ya kwathu ndili ndi zaka 12 ndi cholinga chothandiza bambo anga nthawi yokolola.
"I don't know what went on last night, but they're not speaking to each other this morning.",Online,"Sindikudziwa kuti chinachitika ndi chani usiku wathawu, koma sakuyankhulanaso mmawa uno.","Sindikudziwa chomwe chachitika usiku wapitawu, koma sakuyankhulana mawa uno."
I don't think it's always right for local governments to submit to the central government.,Online,Nduganiza kuti sizoyenera kuti ma boma ango'noang'ono azitumikira ku boma,Sindikuganiza kuti ndizoyenera kuti ma nkhonsolo azigonjera ku likulu la boma
I'm a non-native speaker of English and realize there is a lot that I still need to learn.,Online,Siine mbadwa ya chiyankhulo chachizungu ndipo zindikirani kuti pali zambiri zomwe ndiyenera kuphunzira,
I've heard that you don't eat green leafy vegetables. You say that it is food for animals.,Online,Ndava kuti sumadya masamba obiriwira. Ukunena kuti ndizakudya za nyama,Ndavetsedwa kuti simudya masamba obiriwira. Munati ndi chakudya cha zinyama.
One out of 455 women doesn't realize she's pregnant until the twentieth week of pregnancy.,Online,Mmodzi mwa azimayi zikwi zinayi makumi asanu ndi asanu samadziwa kuti ndioyembekezera mpaka mu sabata ya makumi awiri a mimba,Zimayi modzi pa 455 sazindikira kuti ndi woyembekezera pokhapokha atafika masabata 20 ali woyembekezera.
Some of Martin Luther King's supporters began to question his belief in peaceful protests.,Online,Ena mwa ma sapota a Matini Lutha king’I anayamba kumufusa za chikhulupiriro cha mu zionetsero za ntendere,Ena mwa otsatira Martin Luther King's anayamba kufunsa zomwe iye akakhulupilira popanga ziwonetsero zabata.
The names of the students who failed in the examination were posted on the bulletin board.,Online,Mayina awophunzira omwe adalakwa mayeso anamatidwa pa bolodi ya nkhani,Mayina a wophunzira omwe analephera mayeso zinakhomedwa pa bolodi la zolegeza.
To reduce misunderstandings we should learn the techniques for communicating successfully.,Online,Kuti tichepetse kusavana tiyenera kuphunzira njira zolumikizirana/zoyankhulirarana molondola,Kuchepetsa kusamvetsetsana tiyenera kuphunzira njira zolumikizirana mosavuta.
